"Countries_24","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index"
"Netherlands",0.833491012298959,0.821070234113712,0.987421383647799,0.488794023479189,0.159090909090909,0,0.0629800307219662
"Denmark",0.833491012298959,0.821070234113712,0.959119496855346,0.605122732123799,0.136363636363636,0.204918032786885,0.064516129032258
"Switzerland",0.981078524124882,0.837792642140468,0.789308176100629,1,0.299242424242424,0.385245901639344,0.0691244239631337
"Norway",0.754020813623463,0.715719063545151,0.886792452830189,0.647812166488794,0.174242424242424,0.127049180327869,0.0138248847926267
"Austria",0.654683065279092,0.770903010033445,0.915094339622641,0.515474919957311,0.295454545454545,0.0163934426229509,0.0629800307219662
"Japan",0.797540208136235,0.882943143812709,1,0.343649946638207,0.257575757575758,0.676229508196721,0.321044546850999
"Germany",0.811731315042573,0.610367892976589,0.761006289308176,0.471718249733191,0.25,0.270491803278689,0.176651305683564
"Spain",0.596026490066225,0.655518394648829,0.946540880503144,0.319103521878335,0.159090909090909,0.110655737704918,0.274961597542243
"Sweden",0.751182592242195,0.451505016722408,0.663522012578616,0.466382070437567,0.185606060606061,0.221311475409836,0
"United States",1,0.436454849498328,0.632075471698113,0.580576307363927,0.0340909090909091,0.413934426229508,0.298003072196621
"Slovenia",0.499526963103122,0.8561872909699,0.59748427672956,0.328708644610459,0.303030303030303,0.0614754098360656,0.0721966205837173
"New Zealand",0.7360454115421,0.463210702341137,0.635220125786164,0.530416221985059,0.276515151515151,0.487704918032787,0.159754224270353
"Portugal",0.296121097445601,0.739130434782609,0.792452830188679,0.299893276414087,0.356060606060606,0.172131147540984,0.168970814132104
"Croatia",0.404919583727531,0.826086956521739,0.553459119496855,0.303094983991462,0.386363636363636,0.0942622950819673,0.208909370199693
"Australia",0.741721854304636,0.473244147157191,0.70125786163522,0.579509071504802,0.295454545454545,0.782786885245901,0.179723502304147
"Czech Republic",0.470198675496689,0.812709030100334,0.880503144654088,0.321237993596585,0.367424242424242,0.225409836065574,0.262672811059908
"United Arab Emirates",0.789971617786187,1,0.682389937106918,0.419423692636072,0.0378787878787879,0.561475409836065,0.480798771121352
"Singapore",0.830652790917692,0.867892976588629,0.726415094339623,0.676627534685165,0.443181818181818,0.725409836065574,0.23963133640553
"United Kingdom",0.708609271523179,0.468227424749164,0.817610062893082,0.48239060832444,0.253787878787879,0.44672131147541,0.350230414746544
"Belgium",0.714285714285714,0.438127090301003,0.874213836477987,0.474919957310566,0.136363636363636,0.483606557377049,0.491551459293395
"Saudi Arabia",0.850520340586566,0.811036789297659,0.405660377358491,0.308431163287086,0,0.295081967213115,0.712749615975422
"Ireland",0.63197729422895,0.483277591973244,0.135220125786163,0.512273212379936,0.162878787878788,0.577868852459016,0.253456221198157
"France",0.645222327341533,0.336120401337793,0.962264150943396,0.506937033084311,0.34469696969697,0.454918032786885,0.394777265745008
"Canada",0.644276253547777,0.505016722408027,0.679245283018868,0.532550693703309,0.295454545454545,0.44672131147541,0.192012288786482
"Israel",0.608325449385052,0.719063545150502,0.817610062893082,0.51974386339381,0.416666666666667,0.536885245901639,0.603686635944701
"South Africa",0.65752128666036,0,0.518867924528302,0.163287086446105,0.00378787878787884,0.614754098360656,0.592933947772657
"Italy",0.450331125827815,0.469899665551839,0.569182389937107,0.431163287086446,0.284090909090909,0.372950819672131,0.557603686635945
"Poland",0.482497634815516,0.747491638795987,0.248427672955975,0.249733191035219,0.340909090909091,0.377049180327869,0.61136712749616
"Bulgaria",0.353831598864711,0.640468227424749,0.305031446540881,0.215581643543223,0.215909090909091,0.221311475409836,0.700460829493088
"Hungary",0.327341532639546,0.697324414715719,0.204402515723271,0.265741728922092,0.401515151515151,0.495901639344262,0.465437788018433
"Romania",0.314096499526963,0.697324414715719,0.276729559748428,0.216648879402348,0.295454545454545,0.39344262295082,0.632872503840246
"Bosnia And Herzegovina",0.301797540208136,0.576923076923077,0.257861635220126,0.172892209178228,0.352272727272727,0.118852459016394,0.657450076804916
"Greece",0.254493850520341,0.479933110367893,0.308176100628931,0.381003201707577,0.393939393939394,0.405737704918033,0.526881720430108
"Malaysia",0.443708609271523,0.41304347826087,0.710691823899371,0.128068303094984,0.200757575757576,0.549180327868853,0.671274961597542
"Mexico",0.215704824976348,0.361204013377926,0.786163522012579,0.270010672358591,0.284090909090909,0.635245901639344,0.620583717357911
"Turkey",0.228003784295175,0.576923076923077,0.729559748427673,0.163287086446105,0.352272727272727,0.836065573770492,0.721966205837174
"Serbia",0.230842005676443,0.620401337792642,0.144654088050315,0.211312700106724,0.515151515151515,0.295081967213115,0.726574500768049
"Argentina",0.194891201513718,0.187290969899665,0.647798742138365,0.0992529348986126,0.678030303030303,0.840163934426229,0.513056835637481
"India",0.43046357615894,0.520066889632107,0.547169811320755,0.0394877267876201,0.382575757575758,0.94672131147541,0.846390168970814
"China",0.428571428571429,0.84448160535117,0.647798742138365,0.166488794023479,1,0.627049180327869,0.929339477726575
"Brazil",0.140964995269631,0.163879598662207,0.358490566037736,0.178228388473853,0.503787878787879,0.692622950819672,0.536098310291859
"Ukraine",0.160832544938505,0.476588628762542,0.248427672955975,0.107790821771612,0.446969696969697,0.573770491803279,0.67741935483871
"Russia",0.248817407757805,0.607023411371237,0.421383647798742,0.117395944503735,0.488636363636364,0.799180327868853,0.643625192012289
"Pakistan",0.0879848628192999,0.538461538461538,0.386792452830189,0,0.352272727272727,0.594262295081967,0.847926267281106
"Colombia",0.122043519394513,0.237458193979933,0.654088050314465,0.129135538954109,0.587121212121212,0.967213114754098,0.692780337941628
"Chile",0.200567644276254,0.269230769230769,0.5,0.228388473852721,0.541666666666667,0.512295081967213,0.912442396313364
